"","stem","positive","negative","uncertainty","litigious"
"213","confiscatori",0,0,0,1
"214","conflict",0,1,0,0
"215","confront",0,1,0,0
"216","confus",0,1,1,0
"217","confusingli",0,1,1,0
"218","consent",0,0,0,1
"219","conservatorship",0,0,0,1
"220","conspir",0,1,0,0
"221","conspiraci",0,1,0,0
"222","conspiratori",0,1,0,0
"223","constitut",0,0,0,1
"224","constitution",0,0,0,1
"225","constru",0,0,0,1
"226","construct",1,0,0,0
"227","contempt",0,1,0,0
"228","contend",0,1,0,0
"229","content",0,1,0,0
"230","contenti",0,1,0,0
"231","contest",0,1,0,1
"232","conting",0,0,1,0
"233","contract",0,1,0,1
"234","contracthold",0,0,0,1
"235","contractil",0,0,0,1
"236","contractu",0,0,0,1
"237","contradict",0,1,0,0
"238","contradictori",0,1,0,0
"239","contrari",0,1,0,0
"240","contraven",0,0,0,1
"241","contravent",0,0,0,1
"242","controversi",0,1,0,0
"243","controvert",0,0,0,1
"244","convenien",0,0,0,1
"245","convey",0,0,0,1
"246","convict",0,1,0,1
"247","correct",0,1,0,0
"248","corrupt",0,1,0,0
"249","corruptli",0,1,0,0
"250","costli",0,1,0,0
"251","cotermin",0,0,0,1
"252","could",0,0,1,0
"253","counsel",0,0,0,1
"254","counterclaim",0,1,0,0
"255","counterfeit",0,1,0,0
"256","countermeasur",0,1,0,0
"257","countersignor",0,0,0,1
"258","countersu",0,0,0,1
"259","countersuit",0,0,0,1
"260","court",0,0,0,1
"261","courteou",1,0,0,0
"262","courtroom",0,0,0,1
"263","creativ",1,0,0,0
"264","crime",0,1,0,1
"265","crimin",0,1,0,1
"266","crise",0,1,0,0
"267","crisi",0,1,0,0
"268","critic",0,1,0,0
"269","crossclaim",0,0,0,1
"270","crossroad",0,0,1,0
"271","crucial",0,1,0,0
"272","culpabl",0,1,0,0
"273","cumbersom",0,1,0,0
"274","curtail",0,1,0,0
"275","cut",0,1,0,0
"276","cutback",0,1,0,0
"277","cyberattack",0,1,0,0
"278","cyberbulli",0,1,0,0
"279","cybercrim",0,1,0,0
"280","cybercrimin",0,1,0,0
"281","damag",0,1,0,0
"282","dampen",0,1,0,0
"283","danger",0,1,0,0
"284","deadlock",0,1,0,0
"285","deadweight",0,1,0,0
"286","debar",0,1,0,0
"287","deceas",0,1,0,0
"288","deced",0,0,0,1
"289","deceit",0,1,0,0
"290","deceiv",0,1,0,0
"291","decept",0,1,0,0
"292","declar",0,0,0,1
"293","declin",0,1,0,0
"294","decre",0,0,0,1
"295","defac",0,1,0,0
"296","defalc",0,0,0,1
"297","defam",0,1,0,0
"298","defamatori",0,1,0,0
"299","default",0,1,0,0
"300","defeas",0,0,0,1
"301","defeat",0,1,0,0
"302","defect",0,1,0,1
"303","defend",0,1,0,1
"304","defens",0,1,0,0
"305","defer",0,1,0,1
"306","defici",0,1,0,0
"307","deficit",0,1,0,0
"308","defraud",0,1,0,0
"309","defunct",0,1,0,0
"310","degrad",0,1,0,0
"311","delai",0,1,0,0
"312","deleg",0,0,0,1
"313","delegat",0,0,0,1
"314","delegate",0,0,0,1
"315","delege",0,0,0,1
"316","deleteri",0,1,0,0
"317","deliber",0,1,0,0
"318","delight",1,0,0,0
"319","delightfulli",1,0,0,0
"320","delinqu",0,1,0,0
"321","delist",0,1,0,0
"322","demis",0,1,0,0
"323","demolish",0,1,0,0
"324","demolit",0,1,0,0
"325","demot",0,1,0,0
"326","demur",0,0,0,1
"327","demurr",0,0,0,1
"328","deni",0,1,0,0
"329","denial",0,1,0,0
"330","denigr",0,1,0,0
"331","depend",1,0,1,0
"332","deplet",0,1,0,0
"333","depos",0,0,0,1
"334","deposit",0,0,0,1
"335","deprec",0,1,0,0
"336","depress",0,1,0,0
"337","depriv",0,1,0,0
"338","derelict",0,1,0,0
"339","derog",0,0,0,1
"340","derogatori",0,1,0,0
"341","design",0,0,0,1
"342","desir",1,0,0,0
"343","desist",0,0,0,1
"344","despit",1,0,0,0
"345","destabil",0,1,1,0
"346","destin",1,0,0,0
"347","destroi",0,1,0,0
"348","destruct",0,1,0,0
"349","detain",0,1,0,1
"350","detent",0,1,0,0
"351","deter",0,1,0,0
"352","deterior",0,1,0,0
"353","deterr",0,1,0,0
"354","detract",0,1,0,0
"355","detriment",0,1,0,0
"356","devalu",0,1,0,0
"357","devast",0,1,0,0
"358","deviat",0,1,1,0
"359","devise",0,0,0,1
"360","devolv",0,1,0,0
"361","differ",0,0,1,0
"362","difficult",0,1,0,0
"363","difficulti",0,1,0,0
"364","difficultli",0,1,0,0
"365","dilig",1,0,0,0
"366","diminish",0,1,0,0
"367","diminut",0,1,0,0
"368","disadvantag",0,1,0,0
"369","disaffili",0,1,0,1
"370","disaffirm",0,0,0,1
"371","disagr",0,1,0,0
"372","disagre",0,1,0,0
"373","disallow",0,1,0,0
"374","disappear",0,1,0,0
"375","disappoint",0,1,0,0
"376","disappointingli",0,1,0,0
"377","disapprov",0,1,0,0
"378","disassoci",0,1,0,0
"379","disast",0,1,0,0
"380","disastr",0,1,0,0
"381","disavow",0,1,0,0
"382","disciplinari",0,1,0,0
"383","disclaim",0,1,0,0
"384","disclos",0,1,0,0
"385","discontinu",0,1,0,0
"386","discourag",0,1,0,0
"387","discredit",0,1,0,0
"388","discrep",0,1,0,0
"389","disfavor",0,1,0,0
"390","disgorg",0,1,0,0
"391","disgrac",0,1,0,0
"392","disgracefulli",0,1,0,0
"393","dishonest",0,1,0,0
"394","dishonesti",0,1,0,0
"395","dishonestli",0,1,0,0
"396","dishonor",0,1,0,0
"397","disincent",0,1,0,0
"398","disinterest",0,1,0,0
"399","disinterested",0,1,0,0
"400","disinterestedli",0,1,0,0
